,Chandigarh,Delhi,HARYANA,HIMACHAL PRADESH,Jammu & Kashmir,Ladakh,PUNJAB,RAJASTHAN,UTTAR PRADESH,Uttarakhand,Northern Region,Chhattisgarh,GUJARAT,MADHYA PRADESH,MAHARASHTRA,Daman & Diu,Dadra & Nagar Haveli,Goa,Western Region,ANDHRA PRADESH,TELANGANA,KARNATAKA,Kerala,Tamil Nadu,Puducherry,Southern Region,BIHAR,Jharkhand,ORISSA,West Bengal,Sikkim,Eastern Region,Arunachal Pradesh,Assam,Manipur,Meghalaya,Mizoram,Nagaland,Tripura,North-Eastern Region,All India
2021-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.61,0.0,0.0,22.61,0.0,148.344,22.7,71.8,0.0,0.0,0.0,242.844,46.75,2.57,63.87,0.91,123.8,0.0,237.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.354
2021-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,0.0,0.0,14.6,0.0,110.03,20.9,61.9,0.0,0.0,0.0,192.83,35.19,2.93,79.85,0.8,126.83,0.0,245.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.03
2021-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.98,0.0,0.0,9.98,0.0,71.47,17.8,43.2,0.0,0.0,0.0,132.47,39.47,1.8,62.39,0.49,119.58,0.0,223.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.18
2021-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,0.0,0.0,13.8,0.0,78.17,14.2,53.0,0.0,0.0,0.0,145.37,46.17,1.77,61.7,0.67,114.53,0.0,224.84000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0100000000000
2021-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.43,0.0,0.0,18.43,0.0,98.96,26.8,57.3,0.0,0.0,0.0,183.06,46.87,1.94,60.6,0.65,111.72,0.0,221.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423.27
2021-07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.67,0.0,0.0,59.67,0.0,119.464,33.2,62.6,0.0,0.0,0.0,215.264,50.24,2.09,58.88,0.64,101.36,0.0,213.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488.144
2021-07-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.29,0.0,0.0,71.29,0.0,137.65,34.9,63.7,0.0,0.0,0.0,236.25,57.16,2.52,59.35,0.73,108.83,0.0,228.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536.13
2021-07-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.43,0.0,0.0,55.43,0.0,149.46,33.6,66.6,0.0,0.0,0.0,249.66,48.32,2.44,67.45,0.69,108.91,0.0,227.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532.9
2021-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,23.0,113.1,81.55,68.2,0.0,0.0,0.0,0.0,262.85,55.93,2.53,66.01,0.68,103.64,0.0,228.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.64
2021-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.91,0.0,0.0,34.91,0.0,142.97,39.4,65.0,0.0,0.0,0.0,247.37,57.78,2.41,68.43,0.64,96.5,0.0,225.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508.04
2021-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.51,0.0,0.0,41.51,0.0,140.72,44.4,63.3,0.0,0.0,0.0,248.42,56.81,1.92,66.49,0.83,99.2,0.0,225.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.1800000000000
2021-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.89,0.0,0.0,46.89,0.0,138.74,43.9,63.6,0.0,0.0,0.0,246.24,54.85,2.04,64.98,0.79,94.67,0.0,217.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.46
2021-08-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.91,0.0,0.0,41.91,0.0,124.41,43.9,63.4,0.0,0.0,0.0,231.71,62.61,2.0,60.59,0.72,99.92,0.0,225.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499.46
2021-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.05,0.0,0.0,32.05,0.0,116.46,43.4,58.3,0.0,0.0,0.0,218.16,61.39,1.61,58.12,0.86,114.72,0.0,236.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486.91
2021-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.85,0.0,0.0,33.85,0.0,109.57,42.2,58.3,0.0,0.0,0.0,210.07,64.85,1.75,58.71,0.71,105.32,0.0,231.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.26
2021-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.26,0.0,0.0,29.26,0.0,83.732,33.7,56.3,0.0,0.0,0.0,173.732,56.81,1.58,60.41,0.81,108.33,0.0,227.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.932
2021-08-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9,0.0,0.0,25.9,40.9,48.117,45.3,0.0,0.0,0.0,0.0,134.317,49.56,1.29,49.22,0.85,108.35,0.0,209.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.487
2021-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.48,0.0,0.0,15.48,0.0,30.76,13.5,25.2,0.0,0.0,0.0,69.46000000000000,30.91,0.72,25.7,0.7,88.16000000000000,0.0,146.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.13
2021-08-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.43,0.0,0.0,22.43,0.0,27.130000000000000,14.8,12.7,0.0,0.0,0.0,54.63000000000000,10.97,0.33,17.84,0.56,67.67,0.0,97.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.43
2021-08-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.89,0.0,0.0,41.89,0.0,33.58,16.9,16.3,0.0,0.0,0.0,66.78,20.35,0.54,19.99,0.66,91.67,0.0,133.21000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.88
2021-08-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.56,0.0,0.0,53.56,0.0,50.85,19.0,19.6,0.0,0.0,0.0,89.45000000000000,32.35,0.73,28.91,0.77,91.39,0.0,154.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.16
2021-08-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.54,0.0,0.0,50.54,0.0,77.63,14.5,18.8,0.0,0.0,0.0,110.93,34.33,0.77,30.05,0.67,66.56,0.0,132.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.85
2021-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.98,0.0,0.0,37.98,0.0,75.62,11.7,20.9,0.0,0.0,0.0,108.22,44.29,0.48,36.56,0.79,87.22,0.0,169.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.54
2021-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.1,0.0,0.0,49.1,0.0,72.006,12.5,28.5,0.0,0.0,0.0,113.006,34.42,0.54,31.44,0.63,79.08,0.0,146.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.216
2021-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.72,0.0,0.0,55.72,0.0,95.84,13.6,30.6,0.0,0.0,0.0,140.04,43.17,1.19,41.94,0.74,106.57,0.0,193.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.37
2021-08-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.48,0.0,0.0,41.48,0.0,85.75,10.6,26.3,0.0,0.0,0.0,122.65,38.02,1.15,38.98,0.68,77.91,0.0,156.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.87
