Year,Month,Date,Equity Type,Commodity Name,Expiry,Price Unit,C/P Option,Strike Price,Open Price,Spot Price,Trading Volume Lots,Lot Size Units
2019,January,2019-01-01,FUTCOM,COTTON,2019-01-31,1 BALES,N.A.,N.A.,21040,21040,827,25 BALES
2019,January,2019-01-01,FUTCOM,COTTON,2019-02-28,1 BALES,N.A.,N.A.,21340,21040,141,25 BALES
2019,January,2019-01-01,FUTCOM,COTTON,2019-03-29,1 BALES,N.A.,N.A.,21600,21040,97,25 BALES
2019,January,2019-01-01,FUTCOM,COTTON,2019-04-30,1 BALES,N.A.,N.A.,-,21040,-,25 BALES
2019,January,2019-01-01,FUTCOM,CRUDEOIL,2019-01-18,1 BBL,N.A.,N.A.,3208,-,21468,100 BBL
2019,January,2019-01-01,FUTCOM,CRUDEOIL,2019-02-19,1 BBL,N.A.,N.A.,3237,-,359,100 BBL
2019,January,2019-01-01,FUTCOM,CRUDEOIL,2019-03-19,1 BBL,N.A.,N.A.,3283,-,2,100 BBL
2019,January,2019-01-01,FUTCOM,CRUDEOIL,2019-04-18,1 BBL,N.A.,N.A.,-,-,-,100 BBL
2019,January,2019-01-01,FUTCOM,CRUDEOIL,2019-05-20,1 BBL,N.A.,N.A.,-,-,-,100 BBL
2019,January,2019-01-01,OPTFUT,CRUDEOIL,2019-01-16,1 BBL,CE,2800,400,-,1,100 BBL
2019,January,2019-01-01,OPTFUT,CRUDEOIL,2019-01-16,1 BBL,CE,2850,-,-,-,100 BBL
2019,January,2019-01-01,OPTFUT,CRUDEOIL,2019-01-16,1 BBL,CE,2900,310,-,1,100 BBL
2019,January,2019-01-01,OPTFUT,CRUDEOIL,2019-01-16,1 BBL,CE,3000,246,-,2,100 BBL
2019,January,2019-01-01,OPTFUT,CRUDEOIL,2019-01-16,1 BBL,CE,3100,179.4,-,17,100 BBL
2019,January,2019-01-01,OPTFUT,CRUDEOIL,2019-01-16,1 BBL,CE,3150,144,-,2,100 BBL
2019,January,2019-01-01,OPTFUT,CRUDEOIL,2019-01-16,1 BBL,CE,3200,130,-,100,100 BBL
2019,January,2019-01-01,OPTFUT,CRUDEOIL,2019-01-16,1 BBL,CE,3250,110.7,-,3,100 BBL
2019,January,2019-01-01,OPTFUT,CRUDEOIL,2019-01-16,1 BBL,CE,3300,87,-,92,100 BBL
2019,January,2019-01-01,OPTFUT,CRUDEOIL,2019-01-16,1 BBL,CE,3350,-,-,-,100 BBL
2019,January,2019-01-01,OPTFUT,CRUDEOIL,2019-01-16,1 BBL,CE,3400,55.6,-,75,100 BBL
2019,January,2019-01-01,OPTFUT,CRUDEOIL,2019-01-16,1 BBL,CE,3450,-,-,-,100 BBL
2019,January,2019-01-01,OPTFUT,CRUDEOIL,2019-01-16,1 BBL,CE,3500,38.8,-,395,100 BBL
2019,January,2019-01-01,OPTFUT,CRUDEOIL,2019-01-16,1 BBL,CE,3600,25,-,70,100 BBL
2019,January,2019-01-01,OPTFUT,CRUDEOIL,2019-01-16,1 BBL,CE,3650,-,-,-,100 BBL
2019,January,2019-01-01,OPTFUT,CRUDEOIL,2019-01-16,1 BBL,CE,3700,14.2,-,59,100 BBL
2019,January,2019-01-01,OPTFUT,CRUDEOIL,2019-01-16,1 BBL,CE,3750,-,-,-,100 BBL
2019,January,2019-01-01,OPTFUT,CRUDEOIL,2019-01-16,1 BBL,CE,3800,7.6,-,40,100 BBL
2019,January,2019-01-01,OPTFUT,CRUDEOIL,2019-01-16,1 BBL,CE,3850,-,-,-,100 BBL
2019,January,2019-01-01,OPTFUT,CRUDEOIL,2019-01-16,1 BBL,CE,3900,4.6,-,1,100 BBL
2019,January,2019-01-01,OPTFUT,CRUDEOIL,2019-01-16,1 BBL,CE,3950,-,-,-,100 BBL
2019,January,2019-01-01,OPTFUT,CRUDEOIL,2019-01-16,1 BBL,CE,4000,4,-,26,100 BBL
