Year,Month,Date,Equity Type,Commodity Name,Expiry,Price Unit,C/P Option,Strike Price,Open Price,Spot Price,Trading Volume Lots,Lot Size Units
2017,May,2017-05-01,FUTCOM,COTTON,2017-05-31,1 BALES,N.A.,N.A.,20900,-,1149,25 BALES
2017,May,2017-05-01,FUTCOM,COTTON,2017-06-30,1 BALES,N.A.,N.A.,21140,-,388,25 BALES
2017,May,2017-05-01,FUTCOM,COTTON,2017-07-31,1 BALES,N.A.,N.A.,21210,-,100,25 BALES
2017,May,2017-05-01,FUTCOM,COTTON,2017-11-30,1 BALES,N.A.,N.A.,19740,-,1,25 BALES
2017,May,2017-05-01,FUTCOM,COTTON,2017-12-29,1 BALES,N.A.,N.A.,19700,-,1,25 BALES
2017,May,2017-05-01,FUTCOM,CRUDEOIL,2017-05-19,1 BBL,N.A.,N.A.,3168,3136,59696,100 BBL
2017,May,2017-05-01,FUTCOM,CRUDEOIL,2017-06-19,1 BBL,N.A.,N.A.,3199,3136,1314,100 BBL
2017,May,2017-05-01,FUTCOM,CRUDEOIL,2017-07-19,1 BBL,N.A.,N.A.,3224,3136,6,100 BBL
2017,May,2017-05-01,FUTCOM,CRUDEOIL,2017-08-21,1 BBL,N.A.,N.A.,-,3136,-,100 BBL
2017,May,2017-05-01,FUTCOM,CRUDEOIL,2017-09-19,1 BBL,N.A.,N.A.,-,3136,-,100 BBL
2017,May,2017-05-01,FUTCOM,CRUDEOIL,2017-10-18,1 BBL,N.A.,N.A.,-,3136,-,100 BBL
2017,May,2017-05-01,FUTCOM,NATURALGAS,2017-05-25,1 mmBtu,N.A.,N.A.,211.7,206.5,33489,1250 mmBtu
2017,May,2017-05-01,FUTCOM,NATURALGAS,2017-06-27,1 mmBtu,N.A.,N.A.,217,206.5,1491,1250 mmBtu
2017,May,2017-05-01,FUTCOM,NATURALGAS,2017-07-26,1 mmBtu,N.A.,N.A.,220.3,206.5,90,1250 mmBtu
2017,May,2017-05-02,FUTCOM,COTTON,2017-05-31,1 BALES,N.A.,N.A.,20780,20490,2485,25 BALES
2017,May,2017-05-02,FUTCOM,COTTON,2017-06-30,1 BALES,N.A.,N.A.,20990,20490,948,25 BALES
2017,May,2017-05-02,FUTCOM,COTTON,2017-07-31,1 BALES,N.A.,N.A.,21000,20490,343,25 BALES
2017,May,2017-05-02,FUTCOM,COTTON,2017-10-31,1 BALES,N.A.,N.A.,20400,20490,1,25 BALES
2017,May,2017-05-02,FUTCOM,COTTON,2017-11-30,1 BALES,N.A.,N.A.,19310,20490,1,25 BALES
2017,May,2017-05-02,FUTCOM,COTTON,2017-12-29,1 BALES,N.A.,N.A.,-,20490,-,25 BALES
2017,May,2017-05-02,FUTCOM,CRUDEOIL,2017-05-19,1 BBL,N.A.,N.A.,3138,3060,143747,100 BBL
2017,May,2017-05-02,FUTCOM,CRUDEOIL,2017-06-19,1 BBL,N.A.,N.A.,3168,3060,4609,100 BBL
2017,May,2017-05-02,FUTCOM,CRUDEOIL,2017-07-19,1 BBL,N.A.,N.A.,3210,3060,16,100 BBL
2017,May,2017-05-02,FUTCOM,CRUDEOIL,2017-08-21,1 BBL,N.A.,N.A.,-,3060,-,100 BBL
2017,May,2017-05-02,FUTCOM,CRUDEOIL,2017-09-19,1 BBL,N.A.,N.A.,3291,3060,2,100 BBL
2017,May,2017-05-02,FUTCOM,CRUDEOIL,2017-10-18,1 BBL,N.A.,N.A.,3299,3060,21,100 BBL
2017,May,2017-05-02,FUTCOM,NATURALGAS,2017-05-25,1 mmBtu,N.A.,N.A.,206.6,205.1,54511,1250 mmBtu
2017,May,2017-05-02,FUTCOM,NATURALGAS,2017-06-27,1 mmBtu,N.A.,N.A.,212.5,205.1,2401,1250 mmBtu
2017,May,2017-05-02,FUTCOM,NATURALGAS,2017-07-26,1 mmBtu,N.A.,N.A.,215.5,205.1,119,1250 mmBtu
2017,May,2017-05-03,FUTCOM,COTTON,2017-05-31,1 BALES,N.A.,N.A.,20620,20480,2427,25 BALES
2017,May,2017-05-03,FUTCOM,COTTON,2017-06-30,1 BALES,N.A.,N.A.,20780,20480,1370,25 BALES
2017,May,2017-05-03,FUTCOM,COTTON,2017-07-31,1 BALES,N.A.,N.A.,20820,20480,323,25 BALES
2017,May,2017-05-03,FUTCOM,COTTON,2017-10-31,1 BALES,N.A.,N.A.,-,20480,-,25 BALES
2017,May,2017-05-03,FUTCOM,COTTON,2017-11-30,1 BALES,N.A.,N.A.,-,20480,-,25 BALES
2017,May,2017-05-03,FUTCOM,COTTON,2017-12-29,1 BALES,N.A.,N.A.,-,20480,-,25 BALES
2017,May,2017-05-03,FUTCOM,CRUDEOIL,2017-05-19,1 BBL,N.A.,N.A.,3103,3067,162203,100 BBL
2017,May,2017-05-03,FUTCOM,CRUDEOIL,2017-06-19,1 BBL,N.A.,N.A.,3103,3067,4723,100 BBL
2017,May,2017-05-03,FUTCOM,CRUDEOIL,2017-07-19,1 BBL,N.A.,N.A.,3162,3067,14,100 BBL
2017,May,2017-05-03,FUTCOM,CRUDEOIL,2017-08-21,1 BBL,N.A.,N.A.,3172,3067,2,100 BBL
2017,May,2017-05-03,FUTCOM,CRUDEOIL,2017-09-19,1 BBL,N.A.,N.A.,3233,3067,3,100 BBL
2017,May,2017-05-03,FUTCOM,CRUDEOIL,2017-10-18,1 BBL,N.A.,N.A.,3241,3067,1,100 BBL
2017,May,2017-05-03,FUTCOM,NATURALGAS,2017-05-25,1 mmBtu,N.A.,N.A.,204.8,207.1,35933,1250 mmBtu
2017,May,2017-05-03,FUTCOM,NATURALGAS,2017-06-27,1 mmBtu,N.A.,N.A.,210,207.1,1590,1250 mmBtu
2017,May,2017-05-03,FUTCOM,NATURALGAS,2017-07-26,1 mmBtu,N.A.,N.A.,212.7,207.1,113,1250 mmBtu
2017,May,2017-05-04,FUTCOM,COTTON,2017-05-31,1 BALES,N.A.,N.A.,20610,20330,2039,25 BALES
2017,May,2017-05-04,FUTCOM,COTTON,2017-06-30,1 BALES,N.A.,N.A.,20790,20330,1150,25 BALES
2017,May,2017-05-04,FUTCOM,COTTON,2017-07-31,1 BALES,N.A.,N.A.,20710,20330,166,25 BALES
2017,May,2017-05-04,FUTCOM,COTTON,2017-10-31,1 BALES,N.A.,N.A.,-,20330,-,25 BALES
2017,May,2017-05-04,FUTCOM,COTTON,2017-11-30,1 BALES,N.A.,N.A.,19000,20330,1,25 BALES
2017,May,2017-05-04,FUTCOM,COTTON,2017-12-29,1 BALES,N.A.,N.A.,-,20330,-,25 BALES
2017,May,2017-05-04,FUTCOM,CRUDEOIL,2017-05-19,1 BBL,N.A.,N.A.,3079,2923,200163,100 BBL
2017,May,2017-05-04,FUTCOM,CRUDEOIL,2017-06-19,1 BBL,N.A.,N.A.,3108,2923,6564,100 BBL
2017,May,2017-05-04,FUTCOM,CRUDEOIL,2017-07-19,1 BBL,N.A.,N.A.,3110,2923,89,100 BBL
2017,May,2017-05-04,FUTCOM,CRUDEOIL,2017-08-21,1 BBL,N.A.,N.A.,3133,2923,6,100 BBL
2017,May,2017-05-04,FUTCOM,CRUDEOIL,2017-09-19,1 BBL,N.A.,N.A.,3215,2923,4,100 BBL
2017,May,2017-05-04,FUTCOM,CRUDEOIL,2017-10-18,1 BBL,N.A.,N.A.,-,2923,-,100 BBL
2017,May,2017-05-04,FUTCOM,NATURALGAS,2017-05-25,1 mmBtu,N.A.,N.A.,206.8,204.6,45398,1250 mmBtu
2017,May,2017-05-04,FUTCOM,NATURALGAS,2017-06-27,1 mmBtu,N.A.,N.A.,212.7,204.6,2116,1250 mmBtu
2017,May,2017-05-04,FUTCOM,NATURALGAS,2017-07-26,1 mmBtu,N.A.,N.A.,215.3,204.6,106,1250 mmBtu
2017,May,2017-05-05,FUTCOM,COTTON,2017-05-31,1 BALES,N.A.,N.A.,20690,20310,2017,25 BALES
2017,May,2017-05-05,FUTCOM,COTTON,2017-06-30,1 BALES,N.A.,N.A.,20850,20310,1113,25 BALES
2017,May,2017-05-05,FUTCOM,COTTON,2017-07-31,1 BALES,N.A.,N.A.,20830,20310,134,25 BALES
2017,May,2017-05-05,FUTCOM,COTTON,2017-10-31,1 BALES,N.A.,N.A.,19890,20310,3,25 BALES
2017,May,2017-05-05,FUTCOM,COTTON,2017-11-30,1 BALES,N.A.,N.A.,-,20310,-,25 BALES
2017,May,2017-05-05,FUTCOM,COTTON,2017-12-29,1 BALES,N.A.,N.A.,-,20310,-,25 BALES
2017,May,2017-05-05,FUTCOM,CRUDEOIL,2017-05-19,1 BBL,N.A.,N.A.,2917,2972,292743,100 BBL
2017,May,2017-05-05,FUTCOM,CRUDEOIL,2017-06-19,1 BBL,N.A.,N.A.,2960,2972,7884,100 BBL
2017,May,2017-05-05,FUTCOM,CRUDEOIL,2017-07-19,1 BBL,N.A.,N.A.,2923,2972,130,100 BBL
2017,May,2017-05-05,FUTCOM,CRUDEOIL,2017-08-21,1 BBL,N.A.,N.A.,2984,2972,20,100 BBL
2017,May,2017-05-05,FUTCOM,CRUDEOIL,2017-09-19,1 BBL,N.A.,N.A.,2998,2972,4,100 BBL
2017,May,2017-05-05,FUTCOM,CRUDEOIL,2017-10-18,1 BBL,N.A.,N.A.,3062,2972,8,100 BBL
