Year,Month,Date,Equity Type,Commodity Name,Expiry,Price Unit,C/P Option,Strike Price,Open Price,Spot Price,Trading Volume Lots,Lot Size Units
2021,January,2021-01-01,FUTCOM,COTTON,2021-01-29,1 BALES,N.A.,N.A.,20750,20380,302,25 BALES
2021,January,2021-01-01,FUTCOM,COTTON,2021-02-26,1 BALES,N.A.,N.A.,20840,20380,84,25 BALES
2021,January,2021-01-01,FUTCOM,CRUDEOIL,2021-01-19,1 BBL,N.A.,N.A.,3533,-,1403,100 BBL
2021,January,2021-01-01,FUTCOM,CRUDEOIL,2021-02-19,1 BBL,N.A.,N.A.,-,-,-,100 BBL
2021,January,2021-01-01,OPTFUT,CRUDEOIL,2021-01-15,1 BBL,CE,3400,-,-,-,100 BBL
2021,January,2021-01-01,OPTFUT,CRUDEOIL,2021-01-15,1 BBL,CE,3500,148,-,48,100 BBL
2021,January,2021-01-01,OPTFUT,CRUDEOIL,2021-01-15,1 BBL,CE,3600,93.9,-,89,100 BBL
2021,January,2021-01-01,OPTFUT,CRUDEOIL,2021-01-15,1 BBL,CE,3700,57.5,-,8,100 BBL
2021,January,2021-01-01,OPTFUT,CRUDEOIL,2021-01-15,1 BBL,CE,3800,-,-,-,100 BBL
2021,January,2021-01-01,OPTFUT,CRUDEOIL,2021-01-15,1 BBL,CE,3900,-,-,-,100 BBL
2021,January,2021-01-01,OPTFUT,CRUDEOIL,2021-01-15,1 BBL,PE,3200,-,-,-,100 BBL
2021,January,2021-01-01,OPTFUT,CRUDEOIL,2021-01-15,1 BBL,PE,3300,48.5,-,9,100 BBL
2021,January,2021-01-01,OPTFUT,CRUDEOIL,2021-01-15,1 BBL,PE,3400,67.5,-,32,100 BBL
2021,January,2021-01-01,OPTFUT,CRUDEOIL,2021-01-15,1 BBL,PE,3500,105,-,134,100 BBL
2021,January,2021-01-01,OPTFUT,CRUDEOIL,2021-01-15,1 BBL,PE,3550,97,-,1,100 BBL
2021,January,2021-01-01,OPTFUT,CRUDEOIL,2021-01-15,1 BBL,PE,3600,144.5,-,36,100 BBL
2021,January,2021-01-01,FUTCOM,NATURALGAS,2021-01-25,1 mmBtu,N.A.,N.A.,182.7,-,24379,1250 mmBtu
2021,January,2021-01-01,FUTCOM,NATURALGAS,2021-02-23,1 mmBtu,N.A.,N.A.,183.1,-,803,1250 mmBtu
2021,January,2021-01-01,FUTCOM,NATURALGAS,2021-03-26,1 mmBtu,N.A.,N.A.,186.6,-,29,1250 mmBtu
2021,January,2021-01-04,FUTCOM,COTTON,2021-01-29,1 BALES,N.A.,N.A.,20780,20650,1614,25 BALES
2021,January,2021-01-04,FUTCOM,COTTON,2021-02-26,1 BALES,N.A.,N.A.,21250,20650,277,25 BALES
2021,January,2021-01-04,FUTCOM,CRUDEOIL,2021-01-19,1 BBL,N.A.,N.A.,3583,3490,60385,100 BBL
2021,January,2021-01-04,FUTCOM,CRUDEOIL,2021-02-19,1 BBL,N.A.,N.A.,3640,3490,13,100 BBL
2021,January,2021-01-04,OPTFUT,CRUDEOIL,2021-01-15,1 BBL,CE,3400,195,-,15,100 BBL
2021,January,2021-01-04,OPTFUT,CRUDEOIL,2021-01-15,1 BBL,CE,3500,158,-,1310,100 BBL
2021,January,2021-01-04,OPTFUT,CRUDEOIL,2021-01-15,1 BBL,CE,3600,90,-,2676,100 BBL
2021,January,2021-01-04,OPTFUT,CRUDEOIL,2021-01-15,1 BBL,CE,3700,60,-,397,100 BBL
2021,January,2021-01-04,OPTFUT,CRUDEOIL,2021-01-15,1 BBL,CE,3800,-,-,-,100 BBL
2021,January,2021-01-04,OPTFUT,CRUDEOIL,2021-01-15,1 BBL,CE,3900,40,-,1,100 BBL
2021,January,2021-01-04,OPTFUT,CRUDEOIL,2021-01-15,1 BBL,PE,3200,15.2,-,4,100 BBL
2021,January,2021-01-04,OPTFUT,CRUDEOIL,2021-01-15,1 BBL,PE,3300,32,-,51,100 BBL
2021,January,2021-01-04,OPTFUT,CRUDEOIL,2021-01-15,1 BBL,PE,3400,41,-,430,100 BBL
2021,January,2021-01-04,OPTFUT,CRUDEOIL,2021-01-15,1 BBL,PE,3500,100,-,1590,100 BBL
2021,January,2021-01-04,OPTFUT,CRUDEOIL,2021-01-15,1 BBL,PE,3550,-,-,-,100 BBL
2021,January,2021-01-04,OPTFUT,CRUDEOIL,2021-01-15,1 BBL,PE,3600,103,-,755,100 BBL
2021,January,2021-01-04,FUTCOM,NATURALGAS,2021-01-25,1 mmBtu,N.A.,N.A.,189.1,188.8,222491,1250 mmBtu
2021,January,2021-01-04,FUTCOM,NATURALGAS,2021-02-23,1 mmBtu,N.A.,N.A.,190,188.8,5253,1250 mmBtu
2021,January,2021-01-04,FUTCOM,NATURALGAS,2021-03-26,1 mmBtu,N.A.,N.A.,186.8,188.8,190,1250 mmBtu
