Year,Month,Date,Equity Type,Commodity Name,Expiry,Price Unit,C/P Option,Strike Price,Open Price,Spot Price,Trading Volume Lots,Lot Size Units
2017,August,2017-08-01,FUTCOM,COTTON,2017-10-31,1 BALES,N.A.,N.A.,18500,20300,732,25 BALES
2017,August,2017-08-01,FUTCOM,COTTON,2017-11-30,1 BALES,N.A.,N.A.,18030,20300,68,25 BALES
2017,August,2017-08-01,FUTCOM,COTTON,2017-12-29,1 BALES,N.A.,N.A.,17950,20300,70,25 BALES
2017,August,2017-08-01,FUTCOM,CRUDEOIL,2017-08-21,1 BBL,N.A.,N.A.,3221,3150,185953,100 BBL
2017,August,2017-08-01,FUTCOM,CRUDEOIL,2017-09-19,1 BBL,N.A.,N.A.,3250,3150,4929,100 BBL
2017,August,2017-08-01,FUTCOM,CRUDEOIL,2017-10-18,1 BBL,N.A.,N.A.,3270,3150,76,100 BBL
2017,August,2017-08-01,FUTCOM,CRUDEOIL,2017-11-17,1 BBL,N.A.,N.A.,3267,3150,5,100 BBL
2017,August,2017-08-01,FUTCOM,CRUDEOIL,2017-12-18,1 BBL,N.A.,N.A.,3317,3150,2,100 BBL
2017,August,2017-08-01,FUTCOM,CRUDEOIL,2018-01-19,1 BBL,N.A.,N.A.,3326,3150,10,100 BBL
2017,August,2017-08-01,FUTCOM,NATURALGAS,2017-08-28,1 mmBtu,N.A.,N.A.,181.5,180.6,49483,1250 mmBtu
2017,August,2017-08-01,FUTCOM,NATURALGAS,2017-09-26,1 mmBtu,N.A.,N.A.,184.9,180.6,1619,1250 mmBtu
2017,August,2017-08-01,FUTCOM,NATURALGAS,2017-10-26,1 mmBtu,N.A.,N.A.,191,180.6,63,1250 mmBtu
2017,August,2017-08-02,FUTCOM,COTTON,2017-10-31,1 BALES,N.A.,N.A.,18410,20490,860,25 BALES
2017,August,2017-08-02,FUTCOM,COTTON,2017-11-30,1 BALES,N.A.,N.A.,17980,20490,144,25 BALES
2017,August,2017-08-02,FUTCOM,COTTON,2017-12-29,1 BALES,N.A.,N.A.,17950,20490,113,25 BALES
2017,August,2017-08-02,FUTCOM,CRUDEOIL,2017-08-21,1 BBL,N.A.,N.A.,3116,3177,187684,100 BBL
2017,August,2017-08-02,FUTCOM,CRUDEOIL,2017-09-19,1 BBL,N.A.,N.A.,3147,3177,4864,100 BBL
2017,August,2017-08-02,FUTCOM,CRUDEOIL,2017-10-18,1 BBL,N.A.,N.A.,3177,3177,74,100 BBL
2017,August,2017-08-02,FUTCOM,CRUDEOIL,2017-11-17,1 BBL,N.A.,N.A.,-,3177,-,100 BBL
2017,August,2017-08-02,FUTCOM,CRUDEOIL,2017-12-18,1 BBL,N.A.,N.A.,-,3177,-,100 BBL
2017,August,2017-08-02,FUTCOM,CRUDEOIL,2018-01-19,1 BBL,N.A.,N.A.,-,3177,-,100 BBL
2017,August,2017-08-02,FUTCOM,NATURALGAS,2017-08-28,1 mmBtu,N.A.,N.A.,181.5,180.1,38410,1250 mmBtu
2017,August,2017-08-02,FUTCOM,NATURALGAS,2017-09-26,1 mmBtu,N.A.,N.A.,184.5,180.1,1255,1250 mmBtu
2017,August,2017-08-02,FUTCOM,NATURALGAS,2017-10-26,1 mmBtu,N.A.,N.A.,190,180.1,11,1250 mmBtu
2017,August,2017-08-03,FUTCOM,COTTON,2017-10-31,1 BALES,N.A.,N.A.,18540,20470,586,25 BALES
2017,August,2017-08-03,FUTCOM,COTTON,2017-11-30,1 BALES,N.A.,N.A.,18130,20470,136,25 BALES
2017,August,2017-08-03,FUTCOM,COTTON,2017-12-29,1 BALES,N.A.,N.A.,18060,20470,95,25 BALES
2017,August,2017-08-03,FUTCOM,CRUDEOIL,2017-08-21,1 BBL,N.A.,N.A.,3148,3120,160668,100 BBL
2017,August,2017-08-03,FUTCOM,CRUDEOIL,2017-09-19,1 BBL,N.A.,N.A.,3170,3120,4061,100 BBL
2017,August,2017-08-03,FUTCOM,CRUDEOIL,2017-10-18,1 BBL,N.A.,N.A.,3190,3120,31,100 BBL
2017,August,2017-08-03,FUTCOM,CRUDEOIL,2017-11-17,1 BBL,N.A.,N.A.,3238,3120,2,100 BBL
2017,August,2017-08-03,FUTCOM,CRUDEOIL,2017-12-18,1 BBL,N.A.,N.A.,3262,3120,2,100 BBL
2017,August,2017-08-03,FUTCOM,CRUDEOIL,2018-01-19,1 BBL,N.A.,N.A.,-,3120,-,100 BBL
2017,August,2017-08-03,FUTCOM,NATURALGAS,2017-08-28,1 mmBtu,N.A.,N.A.,180.2,178.2,44187,1250 mmBtu
2017,August,2017-08-03,FUTCOM,NATURALGAS,2017-09-26,1 mmBtu,N.A.,N.A.,182.9,178.2,1409,1250 mmBtu
2017,August,2017-08-03,FUTCOM,NATURALGAS,2017-10-26,1 mmBtu,N.A.,N.A.,189.2,178.2,7,1250 mmBtu
2017,August,2017-08-04,FUTCOM,COTTON,2017-10-31,1 BALES,N.A.,N.A.,18510,20430,534,25 BALES
2017,August,2017-08-04,FUTCOM,COTTON,2017-11-30,1 BALES,N.A.,N.A.,18120,20430,132,25 BALES
2017,August,2017-08-04,FUTCOM,COTTON,2017-12-29,1 BALES,N.A.,N.A.,18050,20430,82,25 BALES
2017,August,2017-08-04,FUTCOM,CRUDEOIL,2017-08-21,1 BBL,N.A.,N.A.,3130,3159,170514,100 BBL
2017,August,2017-08-04,FUTCOM,CRUDEOIL,2017-09-19,1 BBL,N.A.,N.A.,3150,3159,4370,100 BBL
2017,August,2017-08-04,FUTCOM,CRUDEOIL,2017-10-18,1 BBL,N.A.,N.A.,3169,3159,69,100 BBL
2017,August,2017-08-04,FUTCOM,CRUDEOIL,2017-11-17,1 BBL,N.A.,N.A.,3186,3159,2,100 BBL
2017,August,2017-08-04,FUTCOM,CRUDEOIL,2017-12-18,1 BBL,N.A.,N.A.,-,3159,-,100 BBL
2017,August,2017-08-04,FUTCOM,CRUDEOIL,2018-01-19,1 BBL,N.A.,N.A.,-,3159,-,100 BBL
2017,August,2017-08-04,FUTCOM,NATURALGAS,2017-08-28,1 mmBtu,N.A.,N.A.,179.2,176.7,37414,1250 mmBtu
2017,August,2017-08-04,FUTCOM,NATURALGAS,2017-09-26,1 mmBtu,N.A.,N.A.,181.7,176.7,1328,1250 mmBtu
2017,August,2017-08-04,FUTCOM,NATURALGAS,2017-10-26,1 mmBtu,N.A.,N.A.,187.7,176.7,33,1250 mmBtu
2017,August,2017-08-07,FUTCOM,COTTON,2017-10-31,1 BALES,N.A.,N.A.,18570,-,625,25 BALES
2017,August,2017-08-07,FUTCOM,COTTON,2017-11-30,1 BALES,N.A.,N.A.,18180,-,107,25 BALES
2017,August,2017-08-07,FUTCOM,COTTON,2017-12-29,1 BALES,N.A.,N.A.,18170,-,38,25 BALES
2017,August,2017-08-07,FUTCOM,CRUDEOIL,2017-08-21,1 BBL,N.A.,N.A.,3130,3148,158538,100 BBL
2017,August,2017-08-07,FUTCOM,CRUDEOIL,2017-09-19,1 BBL,N.A.,N.A.,3170,3148,5999,100 BBL
2017,August,2017-08-07,FUTCOM,CRUDEOIL,2017-10-18,1 BBL,N.A.,N.A.,3201,3148,17,100 BBL
2017,August,2017-08-07,FUTCOM,CRUDEOIL,2017-11-17,1 BBL,N.A.,N.A.,3215,3148,2,100 BBL
2017,August,2017-08-07,FUTCOM,CRUDEOIL,2017-12-18,1 BBL,N.A.,N.A.,3241,3148,1,100 BBL
2017,August,2017-08-07,FUTCOM,CRUDEOIL,2018-01-19,1 BBL,N.A.,N.A.,-,3148,-,100 BBL
2017,August,2017-08-07,FUTCOM,NATURALGAS,2017-08-28,1 mmBtu,N.A.,N.A.,178.5,178.5,28694,1250 mmBtu
2017,August,2017-08-07,FUTCOM,NATURALGAS,2017-09-26,1 mmBtu,N.A.,N.A.,181.4,178.5,755,1250 mmBtu
2017,August,2017-08-07,FUTCOM,NATURALGAS,2017-10-26,1 mmBtu,N.A.,N.A.,188.7,178.5,13,1250 mmBtu
2017,August,2017-08-08,FUTCOM,COTTON,2017-10-31,1 BALES,N.A.,N.A.,18740,20440,646,25 BALES
2017,August,2017-08-08,FUTCOM,COTTON,2017-11-30,1 BALES,N.A.,N.A.,18310,20440,134,25 BALES
2017,August,2017-08-08,FUTCOM,COTTON,2017-12-29,1 BALES,N.A.,N.A.,18270,20440,69,25 BALES
2017,August,2017-08-08,FUTCOM,CRUDEOIL,2017-08-21,1 BBL,N.A.,N.A.,3129,3134,163232,100 BBL
2017,August,2017-08-08,FUTCOM,CRUDEOIL,2017-09-19,1 BBL,N.A.,N.A.,3165,3134,3858,100 BBL
2017,August,2017-08-08,FUTCOM,CRUDEOIL,2017-10-18,1 BBL,N.A.,N.A.,3200,3134,42,100 BBL
2017,August,2017-08-08,FUTCOM,CRUDEOIL,2017-11-17,1 BBL,N.A.,N.A.,3230,3134,2,100 BBL
2017,August,2017-08-08,FUTCOM,CRUDEOIL,2017-12-18,1 BBL,N.A.,N.A.,3265,3134,2,100 BBL
2017,August,2017-08-08,FUTCOM,CRUDEOIL,2018-01-19,1 BBL,N.A.,N.A.,3246,3134,1,100 BBL
2017,August,2017-08-08,FUTCOM,NATURALGAS,2017-08-28,1 mmBtu,N.A.,N.A.,180,179.9,28606,1250 mmBtu
2017,August,2017-08-08,FUTCOM,NATURALGAS,2017-09-26,1 mmBtu,N.A.,N.A.,182.9,179.9,1031,1250 mmBtu
2017,August,2017-08-08,FUTCOM,NATURALGAS,2017-10-26,1 mmBtu,N.A.,N.A.,189.1,179.9,47,1250 mmBtu
2017,August,2017-08-09,FUTCOM,COTTON,2017-10-31,1 BALES,N.A.,N.A.,18850,20520,1308,25 BALES
2017,August,2017-08-09,FUTCOM,COTTON,2017-11-30,1 BALES,N.A.,N.A.,18400,20520,236,25 BALES
2017,August,2017-08-09,FUTCOM,COTTON,2017-12-29,1 BALES,N.A.,N.A.,18380,20520,156,25 BALES
2017,August,2017-08-09,FUTCOM,CRUDEOIL,2017-08-21,1 BBL,N.A.,N.A.,3133,3159,164193,100 BBL
2017,August,2017-08-09,FUTCOM,CRUDEOIL,2017-09-19,1 BBL,N.A.,N.A.,3156,3159,4582,100 BBL
2017,August,2017-08-09,FUTCOM,CRUDEOIL,2017-10-18,1 BBL,N.A.,N.A.,3180,3159,107,100 BBL
2017,August,2017-08-09,FUTCOM,CRUDEOIL,2017-11-17,1 BBL,N.A.,N.A.,3223,3159,1,100 BBL
2017,August,2017-08-09,FUTCOM,CRUDEOIL,2017-12-18,1 BBL,N.A.,N.A.,-,3159,-,100 BBL
2017,August,2017-08-09,FUTCOM,CRUDEOIL,2018-01-19,1 BBL,N.A.,N.A.,-,3159,-,100 BBL
2017,August,2017-08-09,FUTCOM,NATURALGAS,2017-08-28,1 mmBtu,N.A.,N.A.,180,183.8,34805,1250 mmBtu
2017,August,2017-08-09,FUTCOM,NATURALGAS,2017-09-26,1 mmBtu,N.A.,N.A.,183,183.8,1280,1250 mmBtu
2017,August,2017-08-09,FUTCOM,NATURALGAS,2017-10-26,1 mmBtu,N.A.,N.A.,188.9,183.8,76,1250 mmBtu
