Date,Open,High,Low,Close,Adj Close,Volume
01-01-1997,23.958332,23.958332,23.958332,23.958332,8.392792,0
02-01-1997,23.670834,24.491667,23.5875,23.8375,8.350462,4800
03-01-1997,23.75,23.995832,23.75,23.833332,8.349003,14400
06-01-1997,24.375,24.375,24.333332,24.375,8.538754,7200
07-01-1997,24.1625,24.25,24.083332,24.141666,8.457017,20400
08-01-1997,24.416666,25.833332,24.416666,25.445833,8.913877,24000
09-01-1997,25.325001,25.333332,25.208332,25.333332,8.874461,9600
10-01-1997,25.833332,25.854166,25.666666,25.666666,8.991232,18000
13-01-1997,25.416666,26.041666,25.416666,25.929167,9.083193,260400
14-01-1997,25.5875,26.375,25.5875,26.25,9.195583,151200
15-01-1997,26.25,28.0875,26.25,27.683332,9.69769,28800
16-01-1997,28.916666,29.583332,27.920834,29.275,10.255261,159600
17-01-1997,28.333332,29.583332,28.333332,29.4,10.299047,98400
20-01-1997,29.166666,29.333332,29.004166,29.2125,10.233368,19200
21-01-1997,29.166666,29.583332,29,29.291666,10.261101,32400
22-01-1997,29.583332,29.916666,28.795834,29.8375,10.452313,45600
23-01-1997,29.8375,29.8375,29.8375,29.8375,10.452313,0
24-01-1997,27.929167,30.833332,27.929167,30.833332,10.801157,42000
27-01-1997,30.75,32.075001,30.275,31.416666,11.005507,193200
28-01-1997,31.5875,32.3125,31.166666,31.458332,11.020099,938400
29-01-1997,31.833332,31.833332,30.608334,30.766666,10.777803,13200
30-01-1997,30.833332,30.833332,30.154165,30.416666,10.655198,538800
31-01-1997,30,30.833332,29.583332,29.583332,10.363276,22800
03-02-1997,29.166666,29.1875,29.154165,29.154165,10.212934,8400
04-02-1997,28.5,28.833332,28.5,28.779165,10.081567,304800
05-02-1997,29.583332,29.583332,28.820833,29.416666,10.30489,10800
06-02-1997,29.908333,29.908333,29.125,29.325001,10.272779,609600
07-02-1997,29.5625,29.5625,29.270832,29.270832,10.253801,6000
10-02-1997,29.495832,29.5,28.416666,29.041666,10.173524,540000
11-02-1997,29.833332,30.416666,29.004166,29.791666,10.436256,357600
12-02-1997,29.5625,31.666666,29.5625,31.375,10.990908,2686800
13-02-1997,30.833332,31.9125,30.833332,31.8375,11.152926,2139600
14-02-1997,30.85,32.166664,30.85,32.129166,11.2551,1038000
17-02-1997,31.762501,32.1875,31.720833,32.041664,11.224446,48000
18-02-1997,32.166664,32.166664,31.549999,31.720833,11.112055,60000
19-02-1997,31.795834,32,31.658333,31.775,11.13103,658800
20-02-1997,31.695833,31.8125,31.6875,31.6875,11.100382,4800
21-02-1997,31.75,31.75,31.379166,31.4625,11.02156,646800
24-02-1997,30.25,30.375,29.916666,29.916666,10.480042,19200
25-02-1997,30,30.166666,29.508333,29.508333,10.337001,19200
26-02-1997,29.754166,30.125,29.754166,30.041666,10.523831,9600
27-02-1997,30.329166,30.6625,30.25,30.416666,10.655198,20400
28-02-1997,32.416664,32.491665,30.833332,31.6875,11.100382,150000
03-03-1997,33.145832,34.158333,33.129166,33.279167,11.657951,182400
04-03-1997,32.504166,33.145832,32.287498,32.766666,11.478422,56400
